gameNum,player,points,win,1_1_n,1_1_r,1_1_p,1_1_rp,1_2_n,1_2_r,1_2_p,1_2_rp,1_3_n,1_3_r,1_3_p,1_3_rp,2_1_n,2_1_r,2_1_p,2_1_rp,2_2_n,2_2_r,2_2_p,2_2_rp,2_3_n,2_3_r,2_3_p,2_3_rp,L,C,S,W,O,resource_pct,3G,2L,2C,2S,2W,2O,has_port,D,0.0278,0.0556,0.0833,0.1111,0.1389,probability_score,probability_score_2
17,3,5,0,4,S,0.0833,S0.0833,8,L,0.1389,L0.1389,10,W,0.0833,W0.0833,6,W,0.1389,W0.1389,9,C,0.1111,C0.1111,3,C,0.0556,C0.0556,1,2,1,2,0,0.8,0,0,0,0,0,0,0,0,0,1,2,1,2,16,156
17,4,10,1,5,W,0.1111,W0.1111,9,S,0.1111,S0.1111,10,W,0.0833,W0.0833,9,C,0.1111,C0.1111,10,O,0.0833,O0.0833,11,L,0.0556,L0.0556,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,3,0,26,184
18,1,6,0,4,W,0.0833,W0.0833,8,S,0.1389,S0.1389,10,O,0.0833,O0.0833,9,S,0.1111,S0.1111,10,C,0.0833,C0.0833,2,O,0.0278,O0.0278,0,1,2,1,2,0.8,0,0,0,0,0,0,0,0,1,0,3,1,1,19,123
18,2,9,0,5,O,0.1111,O0.1111,8,C,0.1389,C0.1389,10,C,0.0833,C0.0833,6,S,0.1389,S0.1389,3,W,0.0556,W0.0556,11,L,0.0556,L0.0556,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,15,141
18,3,6,0,8,C,0.1389,C0.1389,4,W,0.0833,W0.0833,0,2S,0,2S0,5,L,0.1111,L0.1111,6,S,0.1389,S0.1389,12,S,0.0278,S0.0278,1,1,2,1,0,0.8,0,0,0,1,0,0,1,0,1,0,1,1,2,11,126
18,4,10,1,6,L,0.1389,L0.1389,9,S,0.1111,S0.1111,3,W,0.0556,W0.0556,5,L,0.1111,L0.1111,9,C,0.1111,C0.1111,10,O,0.0833,O0.0833,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,1,22,182
19,1,10,1,5,O,0.1111,O0.1111,9,W,0.1111,W0.1111,10,W,0.0833,W0.0833,3,O,0.0556,O0.0556,10,L,0.0833,L0.0833,11,C,0.0556,C0.0556,1,1,0,2,2,0.8,0,0,0,0,0,0,0,0,0,2,2,2,0,24,116
19,2,4,0,5,O,0.1111,O0.1111,8,S,0.1389,S0.1389,10,L,0.0833,L0.0833,4,S,0.0833,S0.0833,9,W,0.1111,W0.1111,11,C,0.0556,C0.0556,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,21,129
19,3,5,0,6,L,0.1389,L0.1389,9,W,0.1111,W0.1111,3,C,0.0556,C0.0556,8,S,0.1389,S0.1389,4,L,0.0833,L0.0833,3,O,0.0556,O0.0556,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,15,141
19,4,8,0,4,S,0.0833,S0.0833,8,W,0.1389,W0.1389,10,W,0.0833,W0.0833,5,O,0.1111,O0.1111,6,S,0.1389,S0.1389,11,C,0.0556,C0.0556,0,1,2,2,1,0.8,0,0,0,0,0,0,0,0,0,1,2,1,2,16,156
20,1,6,0,4,W,0.0833,W0.0833,8,S,0.1389,S0.1389,10,C,0.0833,C0.0833,3,W,0.0556,W0.0556,10,L,0.0833,L0.0833,11,S,0.0556,S0.0556,1,1,2,2,0,0.8,0,0,0,0,0,0,0,0,0,2,3,0,1,18,122
20,2,10,1,6,L,0.1389,L0.1389,9,C,0.1111,C0.1111,3,O,0.0556,O0.0556,5,W,0.1111,W0.1111,6,S,0.1389,S0.1389,11,S,0.0556,S0.0556,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,2,16,180
20,3,7,0,8,L,0.1389,L0.1389,4,O,0.0833,O0.0833,3,W,0.0556,W0.0556,9,C,0.1111,C0.1111,10,L,0.0833,L0.0833,2,O,0.0278,O0.0278,2,1,0,1,2,0.8,0,0,0,0,0,0,0,0,1,1,2,1,1,18,82
20,4,6,0,5,W,0.1111,W0.1111,8,L,0.1389,L0.1389,10,L,0.0833,L0.0833,5,W,0.1111,W0.1111,9,C,0.1111,C0.1111,10,C,0.0833,C0.0833,2,2,0,2,0,0.6,0,0,0,0,0,0,0,0,0,0,2,3,1,23,205
21,1,8,0,5,W,0.1111,W0.1111,9,C,0.1111,C0.1111,10,W,0.0833,W0.0833,3,S,0.0556,S0.0556,9,O,0.1111,O0.1111,11,C,0.0556,C0.0556,0,2,1,2,1,0.8,0,0,0,0,0,0,0,0,0,2,1,3,0,25,169
21,2,7,0,8,L,0.1389,L0.1389,10,L,0.0833,L0.0833,3,S,0.0556,S0.0556,6,O,0.1389,O0.1389,2,S,0.0278,S0.0278,0,3G,0,3G0,2,0,2,0,1,0.6,1,0,0,0,0,0,1,0,1,1,1,0,2,9,114
21,3,10,1,5,O,0.1111,O0.1111,9,O,0.1111,O0.1111,10,L,0.0833,L0.0833,5,W,0.1111,W0.1111,6,W,0.1389,W0.1389,11,C,0.0556,C0.0556,1,1,0,2,2,0.8,0,0,0,0,0,0,0,0,0,1,1,3,1,22,182
21,4,6,0,6,W,0.1389,W0.1389,4,L,0.0833,L0.0833,3,S,0.0556,S0.0556,8,C,0.1389,C0.1389,4,W,0.0833,W0.0833,3,S,0.0556,S0.0556,1,1,2,2,0,0.8,0,0,0,0,0,0,0,0,0,2,2,0,2,14,152
22,1,9,0,8,C,0.1389,C0.1389,4,L,0.0833,L0.0833,0,3G,0,3G0,5,L,0.1111,L0.1111,9,W,0.1111,W0.1111,10,S,0.0833,S0.0833,2,1,1,1,0,0.8,1,0,0,0,0,0,1,0,0,0,2,2,1,18,125
22,2,10,1,5,O,0.1111,O0.1111,8,W,0.1389,W0.1389,10,C,0.0833,C0.0833,6,S,0.1389,S0.1389,3,S,0.0556,S0.0556,12,L,0.0278,L0.0278,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,14,130
22,3,4,0,5,O,0.1111,O0.1111,6,S,0.1389,S0.1389,11,C,0.0556,C0.0556,8,C,0.1389,C0.1389,10,S,0.0833,S0.0833,0,2O,0,2O0,0,2,2,0,1,0.6,0,0,0,0,0,1,1,0,0,1,1,1,2,12,129
22,4,6,0,6,O,0.1389,O0.1389,4,W,0.0833,W0.0833,3,W,0.0556,W0.0556,6,S,0.1389,S0.1389,9,L,0.1111,L0.1111,10,C,0.0833,C0.0833,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1,2,16,156
23,1,4,0,5,C,0.1111,C0.1111,6,O,0.1389,O0.1389,11,L,0.0556,L0.0556,5,O,0.1111,O0.1111,0,2O,0,2O0,0,B,0,B0,1,1,0,0,2,0.6,0,0,0,0,0,1,1,0,0,1,0,2,1,13,93
23,2,7,0,5,O,0.1111,O0.1111,8,C,0.1389,C0.1389,10,O,0.0833,O0.0833,4,L,0.0833,L0.0833,9,W,0.1111,W0.1111,11,L,0.0556,L0.0556,2,1,0,1,2,0.8,0,0,0,0,0,0,0,0,0,1,2,2,1,21,129
23,3,10,1,5,C,0.1111,C0.1111,9,L,0.1111,L0.1111,10,W,0.0833,W0.0833,8,W,0.1389,W0.1389,4,L,0.0833,L0.0833,3,S,0.0556,S0.0556,2,1,1,2,0,0.8,0,0,0,0,0,0,0,0,0,1,2,2,1,21,129
23,4,6,0,6,S,0.1389,S0.1389,9,W,0.1111,W0.1111,3,S,0.0556,S0.0556,3,C,0.0556,C0.0556,4,S,0.0833,S0.0833,11,L,0.0556,L0.0556,1,1,3,1,0,0.8,0,0,0,0,0,0,0,0,0,3,1,1,1,18,86
24,1,10,1,8,O,0.1389,O0.1389,10,C,0.0833,C0.0833,3,S,0.0556,S0.0556,3,S,0.0556,S0.0556,9,L,0.1111,L0.1111,11,S,0.0556,S0.0556,1,1,3,0,1,0.8,0,0,0,0,0,0,0,0,0,3,1,1,1,18,86
24,2,7,0,9,L,0.1111,L0.1111,4,O,0.0833,O0.0833,2,W,0.0278,W0.0278,6,C,0.1389,C0.1389,4,C,0.0833,C0.0833,11,L,0.0556,L0.0556,2,2,0,1,1,0.8,0,0,0,0,0,0,0,0,1,1,2,1,1,18,82
24,3,9,0,6,W,0.1389,W0.1389,4,O,0.0833,O0.0833,3,O,0.0556,O0.0556,5,L,0.1111,L0.1111,8,W,0.1389,W0.1389,10,S,0.0833,S0.0833,1,0,1,2,2,0.8,0,0,0,0,0,0,0,0,0,1,2,1,2,16,156
24,4,6,0,4,O,0.0833,O0.0833,5,L,0.1111,L0.1111,11,S,0.0556,S0.0556,5,W,0.1111,W0.1111,9,L,0.1111,L0.1111,10,C,0.0833,C0.0833,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,0,26,184
25,1,7,0,5,L,0.1111,L0.1111,8,W,0.1389,W0.1389,10,C,0.0833,C0.0833,4,S,0.0833,S0.0833,9,O,0.1111,O0.1111,2,L,0.0278,L0.0278,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,2,2,1,20,126
25,2,7,0,6,W,0.1389,W0.1389,4,S,0.0833,S0.0833,3,W,0.0556,W0.0556,8,L,0.1389,L0.1389,10,C,0.0833,C0.0833,0,D,0,D0,1,1,1,2,0,0.8,0,0,0,0,0,0,0,1,0,1,2,0,2,12,140
25,3,10,1,6,S,0.1389,S0.1389,9,L,0.1111,L0.1111,10,C,0.0833,C0.0833,8,W,0.1389,W0.1389,3,W,0.0556,W0.0556,0,B,0,B0,1,1,1,2,0,0.8,0,0,0,0,0,0,0,0,0,1,1,1,2,12,129
25,4,7,0,5,O,0.1111,O0.1111,9,O,0.1111,O0.1111,10,C,0.0833,C0.0833,5,L,0.1111,L0.1111,6,S,0.1389,S0.1389,11,C,0.0556,C0.0556,1,2,1,0,2,0.8,0,0,0,0,0,0,0,0,0,1,1,3,1,22,182
26,1,10,1,6,C,0.1389,C0.1389,9,O,0.1111,O0.1111,3,L,0.0556,L0.0556,8,W,0.1389,W0.1389,4,O,0.0833,O0.0833,3,S,0.0556,S0.0556,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,1,2,15,141
26,2,7,0,5,S,0.1111,S0.1111,6,C,0.1389,C0.1389,9,W,0.1111,W0.1111,5,L,0.1111,L0.1111,8,W,0.1389,W0.1389,10,L,0.0833,L0.0833,2,1,1,2,0,0.8,0,0,0,0,0,0,0,0,0,0,1,3,2,19,253
26,3,3,0,9,O,0.1111,O0.1111,10,L,0.0833,L0.0833,11,W,0.0556,W0.0556,6,C,0.1389,C0.1389,11,C,0.0556,C0.0556,12,O,0.0278,O0.0278,1,2,0,1,2,0.8,0,0,0,0,0,0,0,0,1,2,1,1,1,17,67
26,4,4,0,5,S,0.1111,S0.1111,8,S,0.1389,S0.1389,10,W,0.0833,W0.0833,6,C,0.1389,C0.1389,2,L,0.0278,L0.0278,0,2S,0,2S0,1,1,2,1,0,0.8,0,0,0,1,0,0,1,0,1,0,1,1,2,11,126
27,1,7,0,6,O,0.1389,O0.1389,9,W,0.1111,W0.1111,3,C,0.0556,C0.0556,4,S,0.0833,S0.0833,9,W,0.1111,W0.1111,11,C,0.0556,C0.0556,0,2,1,2,1,0.8,0,0,0,0,0,0,0,0,0,2,1,2,1,20,114
27,2,7,0,6,C,0.1389,C0.1389,11,W,0.0556,W0.0556,3,L,0.0556,L0.0556,5,S,0.1111,S0.1111,8,L,0.1389,L0.1389,10,O,0.0833,O0.0833,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,15,141
27,3,10,1,4,S,0.0833,S0.0833,8,W,0.1389,W0.1389,10,S,0.0833,S0.0833,5,O,0.1111,O0.1111,6,C,0.1389,C0.1389,11,C,0.0556,C0.0556,0,2,2,1,1,0.8,0,0,0,0,0,0,0,0,0,1,2,1,2,16,156
27,4,4,0,9,L,0.1111,L0.1111,10,S,0.0833,S0.0833,0,2S,0,2S0,8,L,0.1389,L0.1389,4,W,0.0833,W0.0833,3,L,0.0556,L0.0556,3,0,1,1,0,0.6,0,0,0,1,0,0,1,0,0,1,2,1,1,16,81
28,1,6,0,5,C,0.1111,C0.1111,8,W,0.1389,W0.1389,10,S,0.0833,S0.0833,9,L,0.1111,L0.1111,10,O,0.0833,O0.0833,0,2L,0,2L0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,2,2,1,18,125
28,2,10,1,5,S,0.1111,S0.1111,6,C,0.1389,C0.1389,9,L,0.1111,L0.1111,8,W,0.1389,W0.1389,4,L,0.0833,L0.0833,3,O,0.0556,O0.0556,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,17,177
28,3,5,0,5,S,0.1111,S0.1111,8,S,0.1389,S0.1389,10,O,0.0833,O0.0833,6,C,0.1389,C0.1389,11,W,0.0556,W0.0556,12,L,0.0278,L0.0278,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,14,130
28,4,5,0,6,S,0.1389,S0.1389,2,L,0.0278,L0.0278,0,2W,0,2W0,4,W,0.0833,W0.0833,9,W,0.1111,W0.1111,11,O,0.0556,O0.0556,1,0,1,2,1,0.8,0,0,0,0,1,0,1,0,1,1,1,1,1,14,55
29,1,4,0,8,O,0.1389,O0.1389,4,O,0.0833,O0.0833,3,S,0.0556,S0.0556,9,W,0.1111,W0.1111,12,W,0.0278,W0.0278,0,2O,0,2O0,0,0,1,2,2,0.6,0,0,0,0,0,1,1,0,1,1,1,1,1,14,55
29,2,4,0,5,S,0.1111,S0.1111,9,W,0.1111,W0.1111,10,C,0.0833,C0.0833,4,L,0.0833,L0.0833,9,L,0.1111,L0.1111,11,L,0.0556,L0.0556,3,1,1,1,0,0.8,0,0,0,0,0,0,0,0,0,1,2,3,0,26,184
29,3,10,1,8,O,0.1389,O0.1389,10,W,0.0833,W0.0833,0,2S,0,2S0,5,S,0.1111,S0.1111,6,S,0.1389,S0.1389,11,L,0.0556,L0.0556,1,0,2,1,1,0.8,0,0,0,1,0,0,1,0,0,1,1,1,2,12,129
29,4,5,0,6,W,0.1389,W0.1389,9,L,0.1111,L0.1111,3,O,0.0556,O0.0556,4,L,0.0833,L0.0833,8,S,0.1389,S0.1389,10,C,0.0833,C0.0833,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,2,16,156
30,1,9,0,4,C,0.0833,C0.0833,8,W,0.1389,W0.1389,10,W,0.0833,W0.0833,9,O,0.1111,O0.1111,10,L,0.0833,L0.0833,11,S,0.0556,S0.0556,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,3,1,1,20,126
30,2,7,0,5,L,0.1111,L0.1111,9,C,0.1111,C0.1111,10,W,0.0833,W0.0833,6,S,0.1389,S0.1389,3,L,0.0556,L0.0556,11,S,0.0556,S0.0556,2,1,2,1,0,0.8,0,0,0,0,0,0,0,0,0,2,1,2,1,20,114
30,3,10,1,4,C,0.0833,C0.0833,9,O,0.1111,O0.1111,3,S,0.0556,S0.0556,5,L,0.1111,L0.1111,6,S,0.1389,S0.1389,12,W,0.0278,W0.0278,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,19,103
30,4,7,0,6,S,0.1389,S0.1389,3,S,0.0556,S0.0556,0,2L,0,2L0,8,O,0.1389,O0.1389,4,L,0.0833,L0.0833,3,L,0.0556,L0.0556,2,0,2,0,1,0.6,0,1,0,0,0,0,1,0,0,2,1,0,2,10,125
31,1,10,1,5,S,0.1111,S0.1111,6,O,0.1389,O0.1389,9,S,0.1111,S0.1111,5,W,0.1111,W0.1111,8,W,0.1389,W0.1389,10,W,0.0833,W0.0833,0,0,2,3,1,0.6,0,0,0,0,0,0,0,0,0,0,1,3,2,19,253
31,2,8,0,8,W,0.1389,W0.1389,4,O,0.0833,O0.0833,3,L,0.0556,L0.0556,6,C,0.1389,C0.1389,9,O,0.1111,O0.1111,3,C,0.0556,C0.0556,1,2,0,1,2,0.8,0,0,0,0,0,0,0,0,0,2,1,1,2,15,141
31,3,6,0,4,C,0.0833,C0.0833,8,S,0.1389,S0.1389,10,L,0.0833,L0.0833,9,O,0.1111,O0.1111,10,W,0.0833,W0.0833,2,S,0.0278,S0.0278,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,3,1,1,19,123
31,4,5,0,6,O,0.1389,O0.1389,3,L,0.0556,L0.0556,11,W,0.0556,W0.0556,4,C,0.0833,C0.0833,9,O,0.1111,O0.1111,11,W,0.0556,W0.0556,1,1,0,2,2,0.8,0,0,0,0,0,0,0,0,0,3,1,1,1,18,86
32,1,7,0,6,O,0.1389,O0.1389,9,O,0.1111,O0.1111,10,W,0.0833,W0.0833,4,W,0.0833,W0.0833,9,S,0.1111,S0.1111,11,S,0.0556,S0.0556,0,0,2,2,2,0.6,0,0,0,0,0,0,0,0,0,1,2,2,1,21,129
32,2,10,1,5,L,0.1111,L0.1111,6,O,0.1389,O0.1389,11,S,0.0556,S0.0556,6,L,0.1389,L0.1389,4,W,0.0833,W0.0833,3,S,0.0556,S0.0556,2,0,2,1,1,0.8,0,0,0,0,0,0,0,0,0,2,1,1,2,15,141
32,3,7,0,8,C,0.1389,C0.1389,4,W,0.0833,W0.0833,3,C,0.0556,C0.0556,5,W,0.1111,W0.1111,9,S,0.1111,S0.1111,10,L,0.0833,L0.0833,1,2,1,2,0,0.8,0,0,0,0,0,0,0,0,0,1,2,2,1,21,129
32,4,6,0,5,L,0.1111,L0.1111,8,S,0.1389,S0.1389,10,W,0.0833,W0.0833,8,C,0.1389,C0.1389,10,L,0.0833,L0.0833,0,2W,0,2W0,2,1,1,1,0,0.8,0,0,0,0,1,0,1,0,0,0,2,1,2,13,152
33,1,6,0,6,C,0.1389,C0.1389,9,W,0.1111,W0.1111,10,L,0.0833,L0.0833,8,O,0.1389,O0.1389,4,L,0.0833,L0.0833,0,2C,0,2C0,2,1,0,1,1,0.8,0,0,1,0,0,0,1,0,0,0,2,1,2,13,152
33,2,6,0,5,L,0.1111,L0.1111,9,O,0.1111,O0.1111,10,S,0.0833,S0.0833,6,C,0.1389,C0.1389,3,S,0.0556,S0.0556,12,W,0.0278,W0.0278,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,19,103
33,3,6,0,5,W,0.1111,W0.1111,8,L,0.1389,L0.1389,10,L,0.0833,L0.0833,6,C,0.1389,C0.1389,4,S,0.0833,S0.0833,3,S,0.0556,S0.0556,2,1,2,1,0,0.8,0,0,0,0,0,0,0,0,0,1,2,1,2,16,156
33,4,10,1,8,O,0.1389,O0.1389,10,S,0.0833,S0.0833,0,D,0,D0,5,W,0.1111,W0.1111,6,C,0.1389,C0.1389,11,O,0.0556,O0.0556,0,1,1,1,2,0.8,0,0,0,0,0,0,0,1,0,1,1,1,2,13,129
34,1,5,0,6,C,0.1389,C0.1389,4,L,0.0833,L0.0833,3,O,0.0556,O0.0556,4,W,0.0833,W0.0833,11,S,0.0556,S0.0556,0,D,0,D0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,2,2,0,1,15,77
34,2,6,0,6,O,0.1389,O0.1389,9,W,0.1111,W0.1111,10,S,0.0833,S0.0833,5,S,0.1111,S0.1111,10,S,0.0833,S0.0833,9,W,0.1111,W0.1111,0,0,3,2,1,0.6,0,0,0,0,0,0,0,0,0,0,2,3,1,23,205
